l_english:
 ###ETH FLAVOR EVENTS###
 flavor_eth.29.t:0 "The Itinerant Capital of [Root.GetName]"
 flavor_eth.50.desc:1 "The Ethiopian-Adal war has been a disaster for Ethiopia. Many towns got razed, the capital got sieged down by the combined power of Adal and the Ottoman Empire and the remaining army of Ethiopia had to retreat into the mountains. The Muslims assumed that it was only a matter of time until Ethiopia fell.\nThen the Portuguese arrived. In the year 1541, the Portuguese sent the commander Cristóvão da Gama with a company of Portuguese troops to assist Ethiopia and to fight against the Ottoman Empire. These new troops allowed Ethiopia to turn the tables and to defeat the vastly larger Muslim army, which led to the white peace in 1543."
 flavor_eth.50.a:0 "Thank God the Portuguese have come!"
 flavor_eth.50.a.tt:0 "Enables the §YPortuguese Musketeers§! Mercenary Company."
 flavor_eth.51.t:0 "End of the Portuguese-Ottoman Conflicts"
 flavor_eth.51.desc:1 "The Portuguese and the Ottoman had a long history of rivalry ever since the Ottoman Empire blocked the trade from the Silk Road to Europe. The first real fight, however, started when the Ottoman assisted the Sultanate of Гуджарат in the siege of Diu in 1538. Ever since, these two great powers were at war with each other on several occasions with the Ethiopian-Adal war being the most prominent proxy war.\nAfter the small victory of Ethiopia, the Portuguese continued their wins against the Ottoman. In the year 1559, Suleiman the I had to recognize that decisive victories against the Portuguese were a futile project. Because of that, the militaristic activities of these two powers have been greatly reduced in the Horn of Africa."
 flavor_eth.51.a:0 "Хай буде так."
 flavor_eth.51.a.tt:0 "The §YOttoman Janissaries§! and the §YPortuguese Musketeers§! Mercenary Companies are no longer available."
 flavor_eth.52.t:0 "Jesuit Activities in [Root.GetName]"
 flavor_eth.52.desc:1 "In the years 1555 and 1557, the first Portuguese Jesuits arrived in Ethiopia. At first they intended to stand for the small Portuguese community, which has been growing in Ethiopia since 1543. However, their influence in the Ethiopian court grew. It went so far that the Catholic church started to become a real threat to the authority of the Coptic church and now they are trying to talk [Root.Monarch.GetName] into converting to Catholicism! How shall we deal with those foreign missionaries?"
 flavor_eth.52.a:0 "We shall banish these parasites!"
 flavor_eth.52.b:0 "They should be warned!"
 flavor_eth.52.c:1 "Maybe they are right. We should convert to Catholicism."
 ###MAL FLAVOR EVENTS###
 west_african.19.b:1 "You know, [ASH.GetName]'s throne looks more comfortable than ours..."
 flavor_mal.2.b:0 "Hey, wait! Take me with you!"
 flavor_mal.6.a.tt:0 "This option will unlock the §YReligion Mission§! for [Root.GetName]."
 flavor_mal.6.b.tt:0 "This option will unlock the §YTolerance Mission§! for [Root.GetName]."
 flavor_mal.9.t:0 "The Decline of [Root.GetName]"
 flavor_mal.9.d:1 "After the death of Mansa Suleyman Keita, the brother of the mighty Mansa Musa, the empire of [Root.GetName] has seen a constant decline in power, influence and wealth over the decades. Civil wars, fights for the thrones and a series of incompetent mansas undermined the stability of [Root.GetName]. Former subjects such as the Songhai or the Timbuktu declared their independence from the empire, and even now the realm is seeing further and further fall in importance."
 flavor_mal.9.a:0 "These are dark times..."
 flavor_mal.10.t:0 "Return to former Glory for [Root.GetName]"
 flavor_mal.10.d:1 "Like a miracle, the [Root.GovernmentName] of [Root.GetName] survived the internal struggles for power between factions, convinced the subjects to remain loyal to the mansa and even united the royal court. Even better, the old borders of the [Root.GetName] [Root.GovernmentName] have been restored and, as such, the influence the realm once had in West Africa.\nNow it is up to [Root.Monarch.GetTitle] [Root.Monarch.GetName] to expand the power and influence of [Root.GetName] even beyond the achievements the mighty Mansa Musa reached!"
 flavor_mal.10.a:0 "A new dawn for [Root.GetName] has come!"
 flavor_mal.11.t:0 "[Root.mal_pretender.GetName] challenges [Root.Monarch.GetName]!"
 flavor_mal.11.d:0 "Battles for the throne have been a common sight in [Root.GetName] since Suleyman's death. As such, it is to nobody's surprise that the ambitious general [Root.mal_pretender.GetName] tries to overthrow [Root.Monarch.GetTitle] [Root.Monarch.GetName]. The general has gathered an army and is now sieging [mal_pretender_province.GetName]."
 flavor_mal.11.a:1 "You dare challenge me?"
 flavor_mal.12.t:0 "[Root.GetNobilityOrFallbackName] Revolt in [mal_disaster_estate_province.GetName]!"
 flavor_mal.12.d:0 "Ever since our decline, the [Root.GetNobilityOrFallbackName] have become overambitious and try to take control over [mal_disaster_estate_province.GetName] for their own needs."
 flavor_mal.12.a:0 "Ми їх розчавимо!"
 flavor_mal.12.b:0 "[mal_disaster_estate_province.GetName] is not worth the effort."
 flavor_mal.13.t:0 "[Root.GetClergyName] Revolt in [mal_disaster_estate_province.GetName]!"
 flavor_mal.13.d:1 "The [Root.GetClergyName] have expressed unhappiness with the process of converting the rural Fetishists and the lack of piety in the court. Now they started a rebellion in [mal_disaster_estate_province.GetName] in the hope of taking over [Root.GetName]!"
 flavor_mal.13.a:0 "Ми їх розчавимо!"
 flavor_mal.13.b:0 "We probably should hear them out."
 flavor_mal.14.t:0 "[Root.GetDhimmiName] Revolt in [mal_disaster_estate_province.GetName]!"
 flavor_mal.14.d:1 "The [Root.GetDhimmiName] have expressed unhappiness with the Muslim hierarchy and demand more rights for the rural Fetishists. Now they started a rebellion in [mal_disaster_estate_province.GetName] in the hope of taking over [Root.GetName]!"
 flavor_mal.14.a:0 "Ми їх розчавимо!"
 flavor_mal.14.b:0 "We probably should hear them out."
 flavor_mal.15.t:0 "[Root.GetBurghersOrFallbackName] Revolt in [mal_disaster_estate_province.GetName]!"
 flavor_mal.15.d:0 "Ever since our decline, the [Root.GetBurghersOrFallbackName] have become overambitious and try to take control over [mal_disaster_estate_province.GetName] for their own needs."
 flavor_mal.15.a:0 "Ми їх розчавимо!"
 flavor_mal.15.b:0 "[mal_disaster_estate_province.GetName] is not worth the effort."
 flavor_mal.16.t:0 "[mal_disaster_independent_province.GetName] demands Independence!"
 flavor_mal.16.d:1 "The province [mal_disaster_independent_province.GetName] has officially ceased acknowledging the authority of [Root.Monarch.GetName] and demand their return to [mal_original_owner.GetName]!"
 flavor_mal.16.a:0 "Тільки через мій труп!"
 flavor_mal.16.b:0 "Sure. Get out of my sight."
 flavor_mal.17.t:0 "Kaabu demands Independence!"
 flavor_mal.17.d:0 "The people of Kaabu have expressed an overly strong feeling of neglect from the [Root.Monarch.GetTitle] and now wish for a state of their own. In the court of [Root.Monarch.GetName], a diplomat from Kaabu brought an ultimatum to the [Root.Monarch.GetTitle]: we either release Kaabu into independence or they will fight for their freedom."
 flavor_mal.17.a:1 "Then you shall die for your independence!"
 flavor_mal.17.b:0 "We didn't need the Kaabu anyway."
 flavor_mal.18.t:0 "Jolof demands Independence!"
 flavor_mal.18.d:0 "The conquest of Jolof was no easy task for a declining realm. Even harder is keeping the Jolof people at bay though. With our rapid decline, the Jolof nationalists have armed themselves and demand their immediate release into independence!"
 flavor_mal.18.a:1 "Then you shall die for your independence!"
 flavor_mal.18.b:0 "We didn't need the Jolof anyway."
 flavor_mal.19.t:0 "Jenné demands Independence!"
 flavor_mal.19.d:1 "The city of Jenné was once a vassal of the [Root.GetName] Empire. However, our decline resulted in their independence and the citizens of the trade city have become used to it. Naturally, our justified reconquest of their city was not appreciated by the residents. They armed themselves to the teeth and demand their independence back!"
 flavor_mal.19.a:1 "Then you shall die for your independence!"
 flavor_mal.19.b:0 "We don't need this city anyway.."
 flavor_mal.20.t:0 "Kong demands Independence!"
 flavor_mal.20.d:0 "The conquest of Kong was no easy task for a declining realm. Even harder is keeping the Kong people at bay though. With our rapid decline, the Kong nationalists have armed themselves and demand their immediate release into independence!"
 flavor_mal.20.a:1 "Then you shall die for your independence!"
 flavor_mal.20.b:0 "We didn't need the Kong anyway."
 flavor_mal.21.t:0 "Subjects reject the [Root.Monarch.GetTitle]!"
 flavor_mal.21.d:0 "Our steady decline destroyed any kind of trust our subjects had in our stability. Now they are turning against the [Root.Monarch.GetTitle] and wait for their moment to strike..."
 flavor_mal.21.a:0 "Зрадники!"
 flavor_mal.22.t:0 "[Root.GetAdjective] Peasants rise up in [mal_disaster_peasant_province.GetName]!"
 flavor_mal.22.d:1 "The peasants of [mal_disaster_peasant_province.GetName] have had enough of the unstable times and declared war on their unsupported [Root.Monarch.GetTitle]!"
 flavor_mal.22.a:0 "Fools! You are part of the problem!"
 flavor_mal.22.b:0 "Just make them some concessions. This will make them happy."
 flavor_mal.23.t:0 "Scandal in [Root.GetName]"
 flavor_mal.23.d:1 "A scandal from the court of the [Root.Monarch.GetTitle] caused outrage within our upper class. The stability of [Root.GetName] is threatened!"
 flavor_mal.23.a:0 "At least it doesn't get boring here..."
 flavor_mal.24.t:0 "The Quest for the lost Fleet"
 flavor_mal.24.desc:1 "Although the legends of Ko Mamadi are just a story of Mansa Musa, it still intrigued the interests of many young and adventurous sailors of our realm. One has even agreed to lead a dangerous expedition to the west in the hope of finding the remains of Ko Mamadi's fleet and the supposed fate of Ko Mamadi himself."
 flavor_mal.24.a:0 "Well, I won't hold you back from sailing into your grave."
 flavor_mal.25.t:0 "LAND DISCOVERED!"
 flavor_mal.25.desc:1 "Unbelievable news reached the [Root.Monarch.GetTitle]! The exploration fleet has been successful and indeed found something, but it is beyond anything that [Root.GetName] could have imagined: the team of explorers found new, uncharted land beyond the West African Sea! After further investigations, it is revealed that it is not some island but a huge continent.\nThe sailors settled at a coast they now call "[755.GetName]" and are ready to look for tracks of Ko Mamadi in this new land."
 flavor_mal.25.a:0 "We were looking for rotten wood... and found diamonds!"
 flavor_mal.26.t:0 "High Quality Ivory from [Root.GetName]"
 flavor_mal.26.desc:1 "[Root.GetName] has always been known for its riches through gold, but now we have made ourselves a name in the ivory trade and production as well! We export the finest ivory and the European and Asian markets are experiencing a hype for our goods!"
 flavor_mal.26.a:0 "Чудово!"
 flavor_mal.27.t:0 "High Quality Ivory from [From.GetName]"
 flavor_mal.27.desc:0 "[From.GetName] has always been known for its riches through gold, but now they have made themselves a name in the ivory trade and production as well! Their finest ivory has reached European and Asian markets and are now causing a great hype for this valuable material!"
 flavor_mal.27.a:0 "Okay."
 flavor_mal.28.t:0 "Доля Тімбукту"
 flavor_mal.28.desc:1 "The city of Timbuktu played a major role in the West African region, and used to be the main connection between Europe and the Sahel region. Now that we have regained control over the city, discussions have arisen over whether we should move our capital to this crucial trade city..."
 flavor_mal.28.a:1 "Make Timbuktu our capital."
 flavor_mal.28.b:0 "We should develop our current capital instead."
 can_colonize_the_strait_tt:0 "Прийняти рішення, яке дозволить нам колонізувати провінцію §Y[1127.GetName]§!."
 can_colonize_djado_and_tajarhi_tt:0 "Прийняти рішення, яке дозволить нам колонізувати провінції §Y[2474.GetName]§! і §Y[2475.GetName]§!."
 flavor_mal.29.t:0 "The Great Mosque of Djenné"
 flavor_mal.29.desc:1 "The Great Mosque of Djenné is a regional wonder and many of our higher class make a pilgrimage to this holy building in order to pray. The mosque has been in a rough state lately. Fortunately for the city and the monument, our [Root.GetClergyName] have invested many of their resources into upgrading the mosque and converting the local residents."
 flavor_mal.29.a:0 "Blessed be the [Root.GetClergyName]."
 flavor_mal.30.t:0 "[Root.GetName] and the Songhai"
 flavor_mal.30.desc:1 "Prior to 1430, the lands of Songhai were our subjects. In 1430, the [Root.GetName] lost control over the rich city Gao due to the problems and struggles in the homeland, and the city and its territory around it went rogue. They have been taken over by the Sonni dynasty and declared themselves a realm of their own, rivalling our power.\nBut that is now a thing of the past. Gao is again under our control and a majority of the ones who identify themselves as 'Songhai' are our subjects yet again."
 flavor_mal.30.a:0 "As it should be."
 flavor_mal.30.a.tt:0 "Сепаратизм у всіх підконтрольних провінціях §Yсонгайської§! культури зменшиться на §G-30§! років."
 flavor_mal.31.t:0 "[Root.GetName] and the Maghrebi"
 flavor_mal.31.desc:1 "Maghreb is home to a very old trading partner of [Root.GetName], although this is about to change as the situation of the Maghrebi is precarious due to the Iberian threat. Our brethren in faith seemed to have heard the wonderful stories of Mansa Musa and now ask us for support in the form of gold or ivory. Of course such support is quite costly, but the opportunity for a northern alliance might be worth it."
 flavor_mal.31.a:1 "Send them support in the form of gold."
 flavor_mal.31.b:0 "Subsidy them with ivory."
 flavor_mal.31.c:0 "Keep the gold and ivory for yourself."
 flavor_mal.32.t:0 "The many options of European Trade Outposts"
 flavor_mal.32.desc:1 "Europe is a big continent and there would be many options for locations to charter. However, due to the [Root.Monarch.GetTitle] [Root.Monarch.GetName]'s minister's advice, the list of potential provinces has been limited to these five."
 flavor_mal.32.a:0 "Запропонувати [226.Owner.GetTagOMU] продати нам [226.GetName]."
 flavor_mal.32.a.tt:0 "Ми запропонуємо §Y[226.Owner.GetTagOMU]§! §Y2000§! дукатів за провінцію §Y[226.GetName]§!."
 flavor_mal.32.b:0 "Запропонувати [1247.Owner.GetTagOMU] продати нам [1247.GetName]."
 flavor_mal.32.b.tt:0 "Ми запропонуємо §Y[1247.Owner.GetTagOMU]§! §Y2000§! дукатів за провінцію §Y[1247.GetName]§!."
 flavor_mal.32.c:0 "Запропонувати [126.Owner.GetTagOMU] продати нам [126.GetName]."
 flavor_mal.32.c.tt:0 "Ми запропонуємо §Y[126.Owner.GetTagOMU]§! §Y2000§! дукатів за провінцію §Y[126.GetName]§!."
 flavor_mal.32.d:0 "Запропонувати [4559.Owner.GetTagOMU] продати нам [4559.GetName]."
 flavor_mal.32.d.tt:0 "Ми запропонуємо §Y[4559.Owner.GetTagOMU]§! §Y2000§! дукатів за провінцію §Y[4559.GetName]§!."
 flavor_mal.32.e:0 "Запропонувати [102.Owner.GetTagOMU] продати нам [102.GetName]."
 flavor_mal.32.e.tt:0 "Ми запропонуємо §Y[102.Owner.GetTagOMU]§! §Y2000§! дукатів за провінцію §Y[102.GetName]§!."
 flavor_mal.32.f:0 "We should wait for a better moment for a purchase."
 flavor_mal.32.f.tt:1 "Nobody will receive an offer. We can purchase a European Trade Colony at a later date."
 flavor_mal.32.g:0 "Purchase? But we own them all already!"
 mal_will_accept_offer:0 "§Y[This.GetName]§! §Gприйме§! пропозицію."
 mal_will_probably_accept_offer:0 "§Y[This.GetName]§! §Gможе прийняти§! пропозицію."
 mal_could_accept_offer:0 "§Y[This.GetName]§! §Yможе прийняти або не прийняти§! пропозицію."
 mal_will_probably_not_accept_offer:0 "§Y[This.GetName]§! §Rможе не прийняти§! пропозицію."
 mal_will_naver_accept_offer:0 "§Y[This.GetName]§! §Rне прийме§! пропозицію."
 mal_offer_outcome_unkonwn:0 "Ми не можемо передбачити, §Y[This.GetName]§! прийме пропозицію чи ні."
 flavor_mal.33.t:0 "Gold Offer from [From.GetName]"
 flavor_mal.33.desc:0 "An ambassador in [From.GetAdjective] clothes reached the court of [Root.Monarch.GetName]! While this is already a very unique event, the ambassador shows our [Root.Monarch.GetTitle] a chest full of gold too! He offers us a trade, in which we receive this immense amount of gold in exchange for the province [mal_colony_to_buy.GetName]. The ambassador also mentions that in case we might not accept the gold, the [From.Monarch.GetName] might be "mildly annoyed"..."
 flavor_mal.33.a:0 "Well, I gladly take the gold. Thank you very much."
 flavor_mal.33.b:0 "Then he shall be annoyed! [mal_colony_to_buy.GetName] remains in our hands!"
 flavor_mal.34.t:0 "[From.GetName] accepts the Offer!"
 flavor_mal.34.desc:1 "Good news, my [Root.Monarch.GetTitle]: [From.Monarch.GetTitle] [From.Monarch.GetName] accepted our generous offer and ceded [mal_colony_to_buy.GetName] to us!"
 flavor_mal.34.a:0 "Lovely"
 flavor_mal.35.t:0 "[From.GetName] refuses the Offer!"
 flavor_mal.35.desc:0 "Bad news, my [Root.Monarch.GetTitle]: [From.Monarch.GetTitle] [From.Monarch.GetName] refused our generous offer and keeps [mal_colony_to_buy.GetName] under [From.GetAdjective] control."
 flavor_mal.35.a:0 "Well, there are other ways to get a colony than just gold..."
 flavor_mal.36.t:0 "Influx of [Root.GetName] Gold"
 flavor_mal.36.desc:0 "With [Root.GetName]'s growth of influence in Europe and its trade a staggering amount of gold have reached the European market. Many gold mines are now getting closed as their mining is no longer profitable, and the amount of Ducats has reached a new peak within the European market."
 flavor_mal.36.a:0 "Please, take my gold, I insist!"
 flavor_mal.36.a.tt:0 "All gold provinces, which are controlled by a §YEuropean§! country or its subjects, get '§YЗакрита копальня§!' for §Y15§! years, що матиме такі ефекти:\nЕфективність виробництва: §R-1000.0%§!"
 flavor_mal.36.a.at:0 "Every European country will receive §R+1.5§! Inflation per Percentage of Trade Income in relation to Total Income."
 flavor_mal.36.a.bt:0 "Player countries and their subjects will only receive §R+0.15§! Inflation per Percentage of Trade Income in relation to Total Income instead."
 flavor_mal.37.t:0 "The generous Pilgrimage of [Root.Monarch.GetName]"
 flavor_mal.37.desc:1 "[Root.Monarch.GetTitle] [Root.Monarch.GetName] travelled to the great city of [385.GetName]. Just like how the great Mansa Musa once did, so did the current [Root.Monarch.GetTitle] bring the riches of [Root.GetName] to the city – although this time, with a lot less gold; after all, [Root.GetMSheHe] did not want to cause damage to our brethren in faith.\nWhen arriving at the city, the [Root.GetClergyName] recommended to donate the gold for the construction of a great mosque, which shall compliment the great Kaaba. On the other hand, some of the more compassionate advisors suggested investing in a counting house in [385.GetName] so that the poor can help themselves to overcome their bad situation with the help of Allah."
 flavor_mal.37.a:0 "[385.GetName] shall have a great mosque!"
 flavor_mal.37.a.tt:0 "[Root.Monarch.GetName] will invest [Root.Monarch.GetHerHis] money in [385.GetName] for the construction of a §YGreat Mosque§!."
 flavor_mal.37.b:0 "The poor require more help than the [Root.GetClergyName]!"
 flavor_mal.37.b.tt:0 "[Root.Monarch.GetName] will invest [Root.Monarch.GetHerHis] money in [385.GetName] for the construction of a §YCounting House§!."
 flavor_mal.38.t:0 "[From.Monarch.GetName] donates Gold for a Great Mosque!"
 flavor_mal.38.desc:1 "The generous [From.Monarch.GetTitle] [From.Monarch.GetName] from [From.GetName] made a pilgrimage to our holy city of [385.GetName] and donated unimaginable amounts of gold for the construction of a new great mosque, which shall compliment the holy Kaaba!"
 flavor_mal.38.a:0 "Blessed be [From.Monarch.GetHerHis] wisdom!"
 flavor_mal.39.t:0 "[From.Monarch.GetName] donates Gold for a Counting House!"
 flavor_mal.39.desc:0 "The generous [From.Monarch.GetTitle] [From.Monarch.GetName] from [From.GetName] made a pilgrimage to our holy city of [385.GetName] and donated tons of gold for the construction of a new counting house, which shall bring work and support for the poor!"
 flavor_mal.39.a:0 "Blessed be [From.Monarch.GetHerHis] heart!"
 flavor_mal.40.t:0 "A new Pilgrimage Route"
 flavor_mal.40.desc:1 "Many of our Mansas have travelled to Mecca in the past. Each time the Mansas took the classic way through Egypt and spent their time in the Arab world. While it is the safest and fastest way, it is not a very exciting route. It would be like any other pilgrimage.\nBut the court came up with a new idea: a grand tour to Mecca through the Christian world to see the wonders of Europe."
 flavor_mal.40.a:0 "I am looking forward to seeing Europe!"
 flavor_mal.40.a.tt:0 "[Root.Monarch.GetName] will travel to Mecca by a route through Europe.\n§YThe Pilgrimage can end prematurely if [Root.Monarch.GetName] dies during the journey.§!"
